Seq No       X      Y    X-Y
   977     -1     13     14
   978     17      9      8
   979     24     -1    -25
   980     -1     -1     -1
   981     -1     -1     -1
   982     -1     -1     -1
   983     -1     -1     -1
   984     -1     -1     -1
   985      1      2     -1
   986     -1     -1     -1
   987     -1     -1     -1
   988     -1     -1     -1
   989     -1     -1     -1
   990     -1     -1     -1
   991     42     -1    -43
   992     -1     -1     -1
   993     -1     -1     -1
   994     -1     -1     -1
   995     11     -1    -12
   996     -1     -1     -1
   997     -1     -1     -1
   998     -1     -1     -1
   999     -1     -1     -1
  1000     -1     -1     -1
  1001     -1     -1     -1
  1002     -1     -1     -1
  1003     10      9      1
  1004     -1     -1     -1
  1005     -1     -1     -1
  1006     29     13     16
  1007     26     12     14
  1008     17     12      5
  1009     29     10     19
  1010     16     15      1
  1011      9      3      6
  1012     16     10      6
  1013      3     41    -38
  1014     -1     -1     -1
  1015     -1     -1     -1
  1016     -1     -1     -1
  1017     -1     -1     -1
  1018     -1     20     21
  1019     -1     -1     -1
  1020      3     19    -16
  1021     -1     -1     -1
  1022     41     -1    -42
  1023     43     -1    -44
  1024     45     -1    -46
  1025     -1     -1     -1
  1026     -1     -1     -1
  1027     43     -1    -44
  1028     -1     -1     -1
  1029     45     -1    -46
  1030     45     -1    -46
  1031     -1     -1     -1
  1032     -1     -1     -1
  1033     -1     -1     -1
  1034     39     -1    -40
  1035     -1     -1     -1
  1036     -1     -1     -1
  1037     -1     -1     -1
  1038     40     -1    -41
  1039     36     -1    -37
  1040     43     -1    -44
  1041     36     -1    -37
  1042     38     -1    -39
  1043     -1     -1     -1
  1044     -1     -1     -1
  1045     35     -1    -36
  1046     38     -1    -39
  1047     43     -1    -44
  1048     42     -1    -43
  1049     31     -1    -32
  1050     33     -1    -34
  1051     38     -1    -39
  1052     39     -1    -40
  1053     -1     -1     -1
  1054     -1     -1     -1
  1055     -1     -1     -1
  1056     43     -1    -44
  1057     37     -1    -38
  1058     31     -1    -32
  1059     39     -1    -40
  1060     -1     -1     -1
  1061     39     -1    -40
  1062      5      3      2
  1063     -1     -1     -1
  1064     31     13     18
  1065     -1     -1     -1
  1066     -1     -1     -1
  1067     -1     -1     -1
